repo deepseek-ai/DeepSeek-V3.1 @ c0781d039fb7a1ba2abc4add0bdc293e92d2b8db (177 files)
  aux config.json (1686 B)
  aux generation_config.json (171 B)
  aux tokenizer.json (7847578 B)
  aux tokenizer_config.json (3744 B)
  aux model.safetensors.index.json (8898324 B)
  shard model-00126-of-000163.safetensors: 4302384518 B, header 75646 B, 586 tensors, 0 B unclaimed
  shard model-00127-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00128-of-000163.safetensors: 4302350602 B, header 74274 B, 576 tensors, 0 B unclaimed
  shard model-00129-of-000163.safetensors: 4302384710 B, header 75838 B, 586 tensors, 0 B unclaimed
  shard model-00130-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00131-of-000163.safetensors: 4302350432 B, header 74104 B, 576 tensors, 0 B unclaimed
  shard model-00132-of-000163.safetensors: 4302384900 B, header 76028 B, 586 tensors, 0 B unclaimed
  shard model-00133-of-000163.safetensors: 4302350808 B, header 74480 B, 576 tensors, 0 B unclaimed
  shard model-00134-of-000163.safetensors: 4302384504 B, header 75632 B, 586 tensors, 0 B unclaimed
  shard model-00135-of-000163.safetensors: 4302384961 B, header 76089 B, 586 tensors, 0 B unclaimed
  shard model-00136-of-000163.safetensors: 4302350620 B, header 74292 B, 576 tensors, 0 B unclaimed
  shard model-00137-of-000163.safetensors: 4302384692 B, header 75820 B, 586 tensors, 0 B unclaimed
  shard model-00138-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00139-of-000163.safetensors: 4302350448 B, header 74120 B, 576 tensors, 0 B unclaimed
  shard model-00140-of-000163.safetensors: 4302384884 B, header 76012 B, 586 tensors, 0 B unclaimed
  shard model-00141-of-000163.safetensors: 3142388798 B, header 55862 B, 431 tensors, 0 B unclaimed
  shard model-00142-of-000163.safetensors: 4302317817 B, header 73745 B, 573 tensors, 0 B unclaimed
  shard model-00143-of-000163.safetensors: 4302384914 B, header 76042 B, 586 tensors, 0 B unclaimed
  shard model-00144-of-000163.safetensors: 4302350794 B, header 74466 B, 576 tensors, 0 B unclaimed
  shard model-00145-of-000163.safetensors: 4302384518 B, header 75646 B, 586 tensors, 0 B unclaimed
  shard model-00146-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00147-of-000163.safetensors: 4302350602 B, header 74274 B, 576 tensors, 0 B unclaimed
  shard model-00148-of-000163.safetensors: 4302384710 B, header 75838 B, 586 tensors, 0 B unclaimed
  shard model-00149-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00150-of-000163.safetensors: 4302350432 B, header 74104 B, 576 tensors, 0 B unclaimed
  shard model-00151-of-000163.safetensors: 4302384900 B, header 76028 B, 586 tensors, 0 B unclaimed
  shard model-00152-of-000163.safetensors: 4302350808 B, header 74480 B, 576 tensors, 0 B unclaimed
  shard model-00153-of-000163.safetensors: 4302384504 B, header 75632 B, 586 tensors, 0 B unclaimed
  shard model-00154-of-000163.safetensors: 4302384961 B, header 76089 B, 586 tensors, 0 B unclaimed
  shard model-00155-of-000163.safetensors: 4302350620 B, header 74292 B, 576 tensors, 0 B unclaimed
  shard model-00156-of-000163.safetensors: 4302384692 B, header 75820 B, 586 tensors, 0 B unclaimed
  shard model-00157-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00158-of-000163.safetensors: 4302350448 B, header 74120 B, 576 tensors, 0 B unclaimed
  shard model-00159-of-000163.safetensors: 4302384884 B, header 76012 B, 586 tensors, 0 B unclaimed
  shard model-00160-of-000163.safetensors: 5230637362 B, header 58442 B, 452 tensors, 0 B unclaimed
  shard model-00161-of-000163.safetensors: 4302384321 B, header 75449 B, 586 tensors, 0 B unclaimed
  shard model-00162-of-000163.safetensors: 4302384948 B, header 76076 B, 586 tensors, 0 B unclaimed
  shard model-00163-of-000163.safetensors: 6584784447 B, header 48183 B, 373 tensors, 0 B unclaimed

commitment  5db967ae32cc5e96ad951bab72b5ab2fb7c6cb94400e23f209fc7aa589d5e9ba
algorithm   sha256
coverage    structure-only
repo        deepseek-ai/DeepSeek-V3.1 @ c0781d039fb7a1ba2abc4add0bdc293e92d2b8db
tensors     91991 in 163 shards
tensor B    688574839360
fetched     49474069 B in 659 requests
wall        531.7 s
written     runs/deepseek-ai__DeepSeek-V3.1.rerun.json
