repo moonshotai/Kimi-K3 @ 9f62e4e9fffbd0a83ddd60e1c209d828994b3569 (118 files)
  aux config.json (7006 B)
  aux generation_config.json (53 B)
  aux tokenizer_config.json (3478 B)
  aux preprocessor_config.json (1011 B)
  aux model.safetensors.index.json (59764096 B)
  shard model-00093-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00094-of-000096.safetensors: 4697664072 B, header 576 B, 5 tensors, 0 B unclaimed
  shard model-00095-of-000096.safetensors: 92289328 B, header 296 B, 3 tensors, 0 B unclaimed
  shard model-00096-of-000096.safetensors: 802448352 B, header 19416 B, 165 tensors, 0 B unclaimed

commitment  9bf53e646d4b9b9609d6140d0b710140e92a65fcd9ad68b6f7c5d1c3b07d5a2b
algorithm   sha256
coverage    structure-only
repo        moonshotai/Kimi-K3 @ 9f62e4e9fffbd0a83ddd60e1c209d828994b3569
tensors     497220 in 96 shards
tensor B    1560860324864
fetched     271100897 B in 391 requests
wall        282.7 s
written     runs/moonshotai__Kimi-K3.rerun.json
